epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6114.36,1.33779,3.01883,1.69968,0.34427,0.31887,0.26909,0.15758,1.37694,2.43528,1.78324,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,6309.21,1.38165,2.95417,1.72633,0.33732,0.32771,0.27578,0.15847,1.32291,2.43743,1.72596,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,6503.21,1.34646,2.97959,1.71617,0.46666,0.3143,0.26205,0.15756,1.32137,2.437,1.73815,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,6697.27,1.32109,2.93382,1.68784,0.37525,0.34046,0.2873,0.17349,1.28946,2.39233,1.70333,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,6892.4,1.33376,2.85848,1.6999,0.45898,0.3336,0.28507,0.17191,1.2846,2.37113,1.69887,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,7087.9,1.32073,2.824,1.67313,0.38007,0.34728,0.30582,0.1869,1.27469,2.3997,1.68955,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,7283.16,1.293,2.82338,1.66535,0.43025,0.32718,0.2943,0.18137,1.26709,2.33198,1.69493,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,7477.05,1.29155,2.88615,1.65676,0.40716,0.37017,0.31025,0.18943,1.27695,2.29305,1.70317,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,7671.63,1.28338,2.79134,1.64652,0.40833,0.36278,0.31619,0.19698,1.25644,2.3075,1.68262,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,7865.34,1.28482,2.80772,1.64818,0.39269,0.35209,0.30684,0.195,1.25288,2.30022,1.68773,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,8058.83,1.31222,2.82304,1.66374,0.35743,0.36379,0.30213,0.18823,1.28738,2.32924,1.69768,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,8251.88,1.29161,2.76422,1.65708,0.37462,0.35938,0.31532,0.19697,1.22073,2.26158,1.65987,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,8445.49,1.26988,2.73213,1.62543,0.3769,0.36094,0.32592,0.20554,1.21302,2.23459,1.65128,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,8638.54,1.27378,2.81322,1.62916,0.3873,0.3715,0.31447,0.20319,1.19803,2.32364,1.62345,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,8832.45,1.26936,2.72171,1.63171,0.4243,0.38504,0.33429,0.2113,1.23345,2.22274,1.64702,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,9026.02,1.25189,2.69364,1.61058,0.42542,0.35962,0.32564,0.20582,1.20014,2.24327,1.62566,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,9219.28,1.23953,2.60884,1.6067,0.44159,0.38238,0.32932,0.21227,1.16615,2.21621,1.60775,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,9413.48,1.25175,2.63345,1.62455,0.43313,0.37484,0.3415,0.21838,1.19336,2.1827,1.63547,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,9606.53,1.23941,2.60011,1.61223,0.38563,0.3854,0.33486,0.21422,1.1697,2.1739,1.62469,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,9799.98,1.23986,2.62094,1.61821,0.40132,0.41172,0.34468,0.22052,1.15049,2.1595,1.61251,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,9994.65,1.21789,2.57519,1.59912,0.43252,0.37625,0.33661,0.21572,1.14301,2.17734,1.60389,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,10189,1.23476,2.59101,1.6077,0.42044,0.38355,0.34622,0.22728,1.14284,2.11498,1.59196,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,10383.4,1.19783,2.56295,1.56499,0.41289,0.39492,0.35008,0.22946,1.12569,2.17687,1.58621,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,10577.9,1.22204,2.5486,1.58787,0.43503,0.40725,0.35508,0.23441,1.12176,2.14255,1.57703,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,10772.7,1.19722,2.52228,1.56805,0.4351,0.4019,0.36802,0.24302,1.13585,2.09875,1.57751,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,10967.5,1.18425,2.50671,1.55288,0.42845,0.40465,0.36654,0.24153,1.12781,2.09162,1.57165,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,11163.3,1.20405,2.45515,1.58272,0.42119,0.41931,0.36564,0.24178,1.11508,2.09945,1.57993,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,11357.4,1.1762,2.43602,1.55575,0.42708,0.42099,0.36828,0.24487,1.09355,2.08402,1.54483,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,11551.8,1.18537,2.44948,1.56899,0.42142,0.40917,0.37136,0.24873,1.09391,2.07872,1.56276,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,11746.6,1.17986,2.45599,1.54467,0.43986,0.40422,0.37035,0.24962,1.08799,2.04609,1.53518,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,11941.6,1.19066,2.56379,1.55115,0.41792,0.42312,0.37381,0.25431,1.06113,2.04521,1.51752,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,12135.9,1.17025,2.44307,1.54081,0.41547,0.4198,0.36317,0.24654,1.07408,2.05794,1.54153,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,12329.2,1.15348,2.36942,1.54258,0.42135,0.43659,0.36597,0.24739,1.08143,2.04058,1.53609,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,12522.8,1.13763,2.44177,1.51687,0.40425,0.43345,0.37241,0.25185,1.06534,2.03678,1.52741,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,12716.4,1.14467,2.40812,1.54052,0.41255,0.4308,0.38457,0.26102,1.08021,2.01222,1.52788,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,12911.1,1.16365,2.35627,1.52972,0.42744,0.43801,0.39055,0.26472,1.06477,2.02711,1.51801,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,13105,1.12094,2.32536,1.50617,0.42859,0.43293,0.37811,0.25468,1.06057,2.03287,1.51974,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,13298.8,1.11209,2.29863,1.49518,0.43255,0.42482,0.38236,0.26222,1.05142,1.9988,1.52421,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,13492.7,1.10908,2.39103,1.49529,0.43384,0.44309,0.39279,0.2678,1.05159,1.97833,1.52982,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,13687,1.13624,2.31468,1.52197,0.44674,0.43153,0.39699,0.26925,1.04614,1.96532,1.5129,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,13881,1.1028,2.2171,1.49507,0.45219,0.42859,0.39867,0.26833,1.03914,1.96323,1.5102,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,14075.6,1.09454,2.20543,1.48749,0.42822,0.43386,0.39741,0.27039,1.05848,1.95545,1.51676,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,14270.8,1.1181,2.23266,1.49879,0.43848,0.43275,0.39393,0.2696,1.06415,1.9877,1.52469,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,14465.1,1.09687,2.23288,1.4832,0.43398,0.43922,0.38899,0.26867,1.04598,1.98712,1.51731,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,14659.6,1.10138,2.21038,1.49163,0.44478,0.44721,0.39405,0.27375,1.03973,1.96089,1.51305,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,14853.5,1.08064,2.1211,1.49047,0.4727,0.43635,0.40014,0.2744,1.02955,1.9833,1.50634,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,15047.5,1.08019,2.18116,1.48227,0.45,0.45013,0.39377,0.27385,1.03409,1.98094,1.50564,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,15240.9,1.07676,2.16682,1.47563,0.43326,0.45268,0.39683,0.27795,1.03372,1.97726,1.50426,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,15435.1,1.06705,2.13163,1.4687,0.44953,0.43368,0.40538,0.28517,1.02466,1.94894,1.49704,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,15630.2,1.05286,2.10968,1.45592,0.46935,0.42962,0.40772,0.28352,1.0303,1.94709,1.50296,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,15825.9,1.05843,2.03889,1.45216,0.48125,0.43843,0.40672,0.28322,1.02809,1.95574,1.50183,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,16021.4,1.0612,2.12168,1.45357,0.48412,0.4373,0.40761,0.28605,1.02166,1.94854,1.49928,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,16215.8,1.06704,2.10093,1.47326,0.45371,0.44755,0.40363,0.28253,1.02347,1.94974,1.50062,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
