epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5450.37,1.12416,1.07022,1.34111,0.84193,0.67558,0.75664,0.50973,1.16556,1.025,1.42925,0.000472489,0.000472489,0.000472489
43,5579.19,1.11257,1.06231,1.34107,0.85253,0.66626,0.75465,0.50304,1.17866,1.0295,1.42695,0.000466599,0.000466599,0.000466599
44,5707.84,1.1143,1.03397,1.33042,0.83129,0.67384,0.75713,0.50477,1.16885,0.99518,1.42443,0.000460709,0.000460709,0.000460709
45,5836.35,1.10302,1.01329,1.31645,0.82384,0.68566,0.75073,0.50426,1.18133,1.01421,1.45504,0.000454818,0.000454818,0.000454818
46,5964.87,1.09487,0.99625,1.31765,0.85081,0.67397,0.75909,0.49824,1.20254,1.0034,1.44761,0.000448928,0.000448928,0.000448928
47,6093.4,1.08475,0.98439,1.31644,0.81217,0.68683,0.74917,0.49113,1.20415,1.02536,1.45219,0.000443037,0.000443037,0.000443037
48,6221.85,1.08932,1.00633,1.31669,0.8374,0.67772,0.75739,0.50731,1.1773,1.00895,1.43924,0.000437147,0.000437147,0.000437147
49,6351.23,1.08492,1.00543,1.31527,0.82237,0.68583,0.76807,0.514,1.15388,0.98705,1.42533,0.000431256,0.000431256,0.000431256
50,6480.36,1.08613,0.98592,1.31956,0.82857,0.66799,0.75482,0.50999,1.15732,1.01462,1.41822,0.000425365,0.000425365,0.000425365
51,6609.24,1.07486,0.98256,1.30869,0.85877,0.67233,0.76455,0.51302,1.16961,0.9894,1.43947,0.000419475,0.000419475,0.000419475
52,6737.97,1.05932,0.96494,1.29647,0.86979,0.67112,0.76302,0.51175,1.17414,0.99967,1.4291,0.000413584,0.000413584,0.000413584
53,6866.43,1.0535,0.95628,1.30087,0.84986,0.6873,0.7708,0.52425,1.14927,0.98228,1.42758,0.000407694,0.000407694,0.000407694
54,6995.27,1.05138,0.93007,1.29227,0.81797,0.68103,0.75832,0.51392,1.15152,1.01477,1.43918,0.000401804,0.000401804,0.000401804
55,7123.77,1.05312,0.9473,1.28931,0.86535,0.67156,0.76401,0.51636,1.16384,1.005,1.42959,0.000395913,0.000395913,0.000395913
56,7252.28,1.04267,0.93478,1.29276,0.85879,0.67595,0.75721,0.51397,1.16564,0.98979,1.43577,0.000390023,0.000390023,0.000390023
57,7381.33,1.04837,0.92666,1.29257,0.82786,0.68198,0.75786,0.51503,1.15904,1.00485,1.42947,0.000384132,0.000384132,0.000384132
58,7511.93,1.04079,0.9241,1.28003,0.82576,0.6863,0.76322,0.5218,1.14327,0.95744,1.43887,0.000378242,0.000378242,0.000378242
59,7642.52,1.03372,0.91845,1.29987,0.81516,0.67735,0.75435,0.5157,1.14475,0.99387,1.41899,0.000372351,0.000372351,0.000372351
60,7772.18,1.02918,0.88059,1.27411,0.85206,0.67304,0.76743,0.52323,1.13806,0.94886,1.43962,0.00036646,0.00036646,0.00036646
61,7900.86,1.01056,0.8759,1.25912,0.85296,0.66786,0.75904,0.51623,1.16391,0.97634,1.43982,0.00036057,0.00036057,0.00036057
62,8029.35,1.01564,0.88551,1.27038,0.84888,0.67345,0.7582,0.52218,1.12906,0.98678,1.41362,0.00035468,0.00035468,0.00035468
